zip_code,station
141250,UUEE
121596,UUWW
115093,UUWW
117447,UUWW
121151,UUWW
143930,UUDD
121609,UUWW
119517,UUWW
109469,UUDD
107143,UUEE
115522,UUWW
109548,UUWW
127055,UUEE
109387,UUWW
119435,UUWW
121433,UUWW
127106,UUEE
123592,UUEE
109651,UUWW
125445,UUEE
125183,UUEE
125438,UUEE
109518,UUWW
125252,UUEE
129343,UUEE
119019,UUEE
125373,UUEE
121374,UUWW
121354,UUWW
117292,UUWW
109390,UUWW
123458,UUEE
119261,UUWW
105318,UUEE
123290,UUWW
123103,UUEE
125363,UUEE
123182,UUEE
107014,UUEE
121359,UUWW
121087,UUWW
127322,UUEE
123317,UUWW
119607,UUWW
121614,UUWW
111020,SGAS
117638,UUWW
129301,UUEE
121552,UUWW
121615,UUWW
127550,UUEE
107392,UUEE
109544,UUEE
111024,UUEE
129626,UUEE
109117,UUWW
109457,UUDD
107113,UUEE
115230,UUWW
119333,UUWW
107061,UUEE
121108,UUWW
121353,UUWW
119192,UUWW
107497,UUEE
107140,UUEE
109382,UUDD
119048,UUWW
117449,UUWW
117393,UUWW
127238,UUEE
123423,UUEE
129337,UUEE
123007,UUEE
119454,UUWW
123154,UUEE
127083,UUEE
119530,UUWW
117335,UUWW
117186,UUWW
121500,UUEE
125167,UUEE
115432,UUWW
117623,UUWW
115088,UUWW
117105,UUWW
119270,UUWW
129323,UUEE
123308,UUEE
109028,UUEE
125284,UUEE
125581,UUEE
115407,UUWW
125047,UUEE
119618,UUWW
127434,UUEE
105120,UUEE
123100,UUWW
119361,UUWW
127576,UUEE
119415,UUWW
121351,UUWW
123181,UUEE
117607,LROP
127206,UUEE
109559,UUDD
119501,UUWW
119311,UUWW
115193,UUWW
109235,UUWW
